"scientificNameID","acceptedNameUsageID","scientificName","acceptedNameUsage","class","order","family","genus","taxonomicStatus","AphiaID"
"urn:lsid:marinespecies.org:taxname:281318","urn:lsid:marinespecies.org:taxname:281318","Leptojulis chrysotaenia","Leptojulis chrysotaenia","Actinopteri","Eupercaria incertae sedis","Labridae","Leptojulis","accepted",281318
"urn:lsid:marinespecies.org:taxname:281319","urn:lsid:marinespecies.org:taxname:281319","Leptojulis cyanopleura","Leptojulis cyanopleura","Actinopteri","Eupercaria incertae sedis","Labridae","Leptojulis","accepted",281319
"urn:lsid:marinespecies.org:taxname:281320","urn:lsid:marinespecies.org:taxname:281320","Leptojulis lambdastigma","Leptojulis lambdastigma","Actinopteri","Eupercaria incertae sedis","Labridae","Leptojulis","accepted",281320
"urn:lsid:marinespecies.org:taxname:281321","urn:lsid:marinespecies.org:taxname:281321","Leptojulis polylepis","Leptojulis polylepis","Actinopteri","Eupercaria incertae sedis","Labridae","Leptojulis","accepted",281321
"urn:lsid:marinespecies.org:taxname:281322","urn:lsid:marinespecies.org:taxname:281322","Leptojulis urostigma","Leptojulis urostigma","Actinopteri","Eupercaria incertae sedis","Labridae","Leptojulis","accepted",281322
"urn:lsid:marinespecies.org:taxname:281323","urn:lsid:marinespecies.org:taxname:281323","Leptomelanosoma indicum","Leptomelanosoma indicum","Actinopteri","Carangaria incertae sedis","Polynemidae","Leptomelanosoma","accepted",281323
"urn:lsid:marinespecies.org:taxname:281324","urn:lsid:marinespecies.org:taxname:281324","Leptonotus blainvilleanus","Leptonotus blainvilleanus","Actinopteri","Syngnathiformes","Syngnathidae","Leptonotus","accepted",281324
"urn:lsid:marinespecies.org:taxname:281325","urn:lsid:marinespecies.org:taxname:281325","Leptonotus elevatus","Leptonotus elevatus","Actinopteri","Syngnathiformes","Syngnathidae","Leptonotus","accepted",281325
"urn:lsid:marinespecies.org:taxname:281326","urn:lsid:marinespecies.org:taxname:281326","Leptonotus norae","Leptonotus norae","Actinopteri","Syngnathiformes","Syngnathidae","Leptonotus","accepted",281326
"urn:lsid:marinespecies.org:taxname:281329","urn:lsid:marinespecies.org:taxname:281329","Leptoscopus macropygus","Leptoscopus macropygus","Actinopteri","Acropomatiformes","Leptoscopidae","Leptoscopus","accepted",281329
"urn:lsid:marinespecies.org:taxname:281330","urn:lsid:marinespecies.org:taxname:281330","Leptostichaeus pumilus","Leptostichaeus pumilus","Actinopteri","Perciformes","Stichaeidae","Leptostichaeus","accepted",281330
"urn:lsid:marinespecies.org:taxname:281331","urn:lsid:marinespecies.org:taxname:281331","Leptosynanceia asteroblepa","Leptosynanceia asteroblepa","Actinopteri","Perciformes","Synanceiidae","Leptosynanceia","accepted",281331
"urn:lsid:marinespecies.org:taxname:281332","urn:lsid:marinespecies.org:taxname:281332","Lepturacanthus pantului","Lepturacanthus pantului","Actinopteri","Scombriformes","Trichiuridae","Lepturacanthus","accepted",281332
"urn:lsid:marinespecies.org:taxname:281333","urn:lsid:marinespecies.org:taxname:281333","Lepturacanthus roelandti","Lepturacanthus roelandti","Actinopteri","Scombriformes","Trichiuridae","Lepturacanthus","accepted",281333
"urn:lsid:marinespecies.org:taxname:281334","urn:lsid:marinespecies.org:taxname:281334","Lepturacanthus savala","Lepturacanthus savala","Actinopteri","Scombriformes","Trichiuridae","Lepturacanthus","accepted",281334
"urn:lsid:marinespecies.org:taxname:281335","urn:lsid:marinespecies.org:taxname:281335","Lesueurina platycephala","Lesueurina platycephala","Actinopteri","Acropomatiformes","Leptoscopidae","Lesueurina","accepted",281335
"urn:lsid:marinespecies.org:taxname:281336","urn:lsid:marinespecies.org:taxname:281336","Lethogoleos andersoni","Lethogoleos andersoni","Actinopteri","Anguilliformes","Ophichthidae","Lethogoleos","accepted",281336
